combination,n_features,ari,nmi,ami,f_score,accuracy,silhouette
EEG + EMG + SpO2 + Resp,30,0.05181613170319532,0.16011319212124314,0.15960616659383478,0.3669174111626186,0.3557,0.12813374552866955
EEG + SpO2 + Resp,25,0.049986484142050695,0.16452121933764502,0.16401679027559377,0.36675297997761197,0.354,0.15734034519708293
EEG,15,0.04726745184111434,0.11249063363274728,0.11197042039836583,0.3802951889415298,0.3783,0.18805359604200547
EEG + EMG + SpO2,25,0.04453078452764873,0.15578310435213125,0.15527197252303998,0.3536500828231334,0.3451,0.1708124420087623
EEG + EOG + Resp,30,0.04067496128190218,0.10512817883145155,0.10458904598427976,0.3379364343974479,0.3316,0.16178416530793835
EEG + EOG + EMG + Resp,35,0.037944301340846046,0.10901549760908091,0.10847198729388782,0.3508174496211004,0.3422,0.15422764878052844
EEG + EOG,25,0.03730717830773334,0.10308846918897173,0.10254603378023094,0.3461774263920107,0.3369,0.223310345045723
EEG + EOG + EMG,30,0.03508354813450634,0.10611859389687894,0.10557418594195282,0.3491979426087037,0.341,0.19176386927307212
EEG + SpO2,20,0.03179683433183593,0.1628435985046462,0.16229304192123828,0.357598094924388,0.3935,0.31761190935021166
EEG + Resp,20,0.03144967887638448,0.13044124264417073,0.12990756522018687,0.36241425287849927,0.3565,0.16274967224367246
EEG + EOG + SpO2 + Resp,35,0.030329491519663444,0.11500012706199267,0.11444547916470726,0.3611412850316666,0.3727,0.20704768038270313
EEG + EOG + EMG + SpO2,35,0.028353322701026258,0.11632059746179205,0.11576647379223189,0.3647482565954998,0.3741,0.230650780700991
EEG + EMG,20,0.026651224339678883,0.10123533395943023,0.10070644410020611,0.34890196675436463,0.3317,0.19524515521563482
Resp,5,0.02403626458316253,0.060105915670406254,0.059516554628895886,0.36730016811018285,0.3608,0.29407634534882726
EEG + EMG + Resp,25,0.02113836627874161,0.09800931397286591,0.09749131781652125,0.29864679123513704,0.283,0.12099822778329686
EEG + EOG + SpO2,30,0.008763861765527754,0.14359454395957905,0.14303034164429154,0.3480366425403927,0.369,0.2683263316299404
EEG + EOG + EMG + SpO2 + Resp,40,0.00838005970736271,0.14088450171857272,0.14031749836719096,0.34442947746780483,0.367,0.1988424612521232
EMG + SpO2,10,0.005951763941290346,0.12573052233059784,0.12516681133756596,0.385192287475528,0.3889,0.5234380031942615
EMG + SpO2 + Resp,15,-0.0037122732901810652,0.10717809824488084,0.10656512757023931,0.3763181001560032,0.385,0.30925543364403474
SpO2 + Resp,10,-0.009092274269949045,0.13391289020278768,0.13330157327116943,0.3911098734161574,0.4294,0.4409107047278203
EOG + SpO2 + Resp,20,-0.009700105216002482,0.13026119493245972,0.12966409940580575,0.33075818771648136,0.3556,0.30064919844287025
EOG + SpO2,15,-0.010514923214827932,0.1304231808910927,0.12982548468881858,0.33203504876744366,0.3575,0.4721821274367332
EMG + Resp,10,-0.012576058098923159,0.05598523394736663,0.05540431916890645,0.32543723164886823,0.3444,0.2936723857454039
EOG + EMG + SpO2 + Resp,25,-0.012733569873714445,0.12686801971709283,0.12627163977878594,0.32446437035323233,0.3483,0.24069316166158114
EOG,10,-0.01351929861995549,0.04482275491048405,0.044142839837748866,0.34885025462335545,0.3772,0.4206132560801861
EOG + EMG + SpO2,20,-0.01376920074244013,0.12718497370573653,0.12658699361881318,0.3272353184512451,0.3529,0.3443154049984094
EOG + EMG + Resp,20,-0.016339224015031246,0.04347588269118246,0.04286790744882428,0.29875650941492515,0.3063,0.21190612418571764
SpO2,5,-0.017633065528486865,0.13177065867926463,0.13104369575438968,0.38901174055005067,0.451,0.8661420250069423
EOG + EMG,15,-0.019141553478422457,0.0418668204960498,0.04123288946529019,0.2851124306581796,0.3098,0.3400242454185603
EMG,5,-0.019224856267374794,0.029469363458917444,0.028819597015989178,0.296228991821503,0.3232,0.5136509482405974
EOG + Resp,15,-0.02049787109287258,0.06526367423720342,0.06464983855912855,0.33441393850335377,0.3512,0.22803973490327306
