combination,n_modalities,n_features,ari,nmi,ami,f_score,silhouette
EEG + EMG + SpO2 + Resp,4,30,0.05327817323723403,0.15967699104249958,0.15916968666282386,0.3742169875184539,0.1256341859329245
EEG + SpO2 + Resp,3,25,0.04828368298125344,0.1638900269551737,0.16338403444549565,0.36843887566557004,0.15605558290547078
EEG + SpO2,2,20,0.047362372723109655,0.16306304138839264,0.16255657325585415,0.3654540685505306,0.22080580086951804
EEG + EMG + SpO2,3,25,0.04696589011224491,0.1566070110055422,0.15609686312792806,0.3647260924328625,0.16865084170573108
EEG + EOG + Resp,3,30,0.04096654852862693,0.10548771550389785,0.10494908921851764,0.35225344732193287,0.16088875133592834
EEG + EOG + EMG + Resp,4,35,0.03842246479385036,0.10947589709823728,0.10893401244244812,0.3464979214212024,0.15067528225795968
EEG + EOG + EMG,3,30,0.03755026339924598,0.1085444509038808,0.10800237714833595,0.3492642535918,0.19280336870642628
EEG + EOG,2,25,0.03748080863671598,0.10260060172408482,0.10205899914411183,0.3410110122008469,0.21785195351350467
EEG + EOG + EMG + SpO2 + Resp,5,40,0.029219497172760546,0.11756162257428966,0.11700891251661892,0.36231881834017887,0.1884955137329414
EEG + Resp,2,20,0.02721048495402829,0.12535969875345443,0.12482108662765717,0.3558828300373573,0.15829719324724065
EEG,1,15,0.02527368062596991,0.11545645092155138,0.11491665679144669,0.32202511476114287,0.22255298300121226
Resp,1,5,0.02403626458316253,0.060105915670406254,0.059516554628895886,0.36730016811018285,0.29407634534882726
EEG + EMG,2,20,0.023355130995080912,0.09930530027059982,0.09877494242056645,0.3438282088408256,0.1944766155659243
EEG + EMG + Resp,3,25,0.02207756061255655,0.09913640060311957,0.0986082397791711,0.3358500493791264,0.14070150622939862
EEG + EOG + EMG + SpO2,4,35,0.008066321413797869,0.13657515096712303,0.13600008582210682,0.35462988453442906,0.23925415306260212
EEG + EOG + SpO2,3,30,0.006738434247390038,0.1417128222602968,0.1411457160386018,0.3486711565106184,0.2694411158902807
EEG + EOG + SpO2 + Resp,4,35,0.0063976409325321275,0.1417441209922788,0.14117834884525507,0.34512554629015885,0.21635820730935165
EMG + SpO2,2,10,0.005951763941290346,0.12573052233059784,0.12516681133756596,0.385192287475528,0.5234380031942615
EMG + SpO2 + Resp,3,15,-0.0037122732901810652,0.10717809824488084,0.10656512757023931,0.3763181001560032,0.30925543364403474
SpO2 + Resp,2,10,-0.009092274269949045,0.13391289020278768,0.13330157327116943,0.3911098734161574,0.4409107047278203
EOG + SpO2 + Resp,3,20,-0.009700105216002482,0.13026119493245972,0.12966409940580575,0.33075818771648136,0.30064919844287025
EOG + SpO2,2,15,-0.010514923214827932,0.1304231808910927,0.12982548468881858,0.33203504876744366,0.4721821274367332
EMG + Resp,2,10,-0.012576058098923159,0.05598523394736663,0.05540431916890645,0.32543723164886823,0.2936723857454039
EOG + EMG + SpO2 + Resp,4,25,-0.012733569873714445,0.12686801971709283,0.12627163977878594,0.32446437035323233,0.24069316166158114
EOG,1,10,-0.01351929861995549,0.04482275491048405,0.044142839837748866,0.34885025462335545,0.4206132560801861
EOG + EMG + SpO2,3,20,-0.01376920074244013,0.12718497370573653,0.12658699361881318,0.3272353184512451,0.3443154049984094
EOG + EMG + Resp,3,20,-0.016339224015031246,0.04347588269118246,0.04286790744882428,0.29875650941492515,0.21190612418571764
SpO2,1,5,-0.017633065528486865,0.13177065867926463,0.13104369575438968,0.38901174055005067,0.8661420250069423
EOG + EMG,2,15,-0.019141553478422457,0.0418668204960498,0.04123288946529019,0.2851124306581796,0.3400242454185603
EMG,1,5,-0.019224856267374794,0.029469363458917444,0.028819597015989178,0.296228991821503,0.5136509482405974
EOG + Resp,2,15,-0.02049787109287258,0.06526367423720342,0.06464983855912855,0.33441393850335377,0.22803973490327306
