combination,n_features,ari,nmi,ami,f_score,silhouette
EEG + EOG,25,0.034169201455083856,0.10085636925416543,0.10031383915324979,0.34119701332046626,0.2161239502713503
EEG + EMG,20,0.024895417839577168,0.09937745900518699,0.09882870618264195,0.35024484598030103,0.20363264157958327
EEG + EOG + EMG,30,0.024257307949390742,0.09589124860890796,0.09531349022639587,0.3620928723569231,0.22916563223681932
EEG,15,0.022661539698927917,0.11428600086898268,0.11374763239617172,0.32110885233947456,0.21993500728409507
EEG + HRV,22,0.02195178428304563,0.08777068953136993,0.08723492908684577,0.3305349917644176,0.15845398544774394
EEG + EMG + HRV,27,0.02093889110864927,0.09666555094815724,0.09611081151552017,0.35280572599391796,0.161209854176757
EEG + EOG + HRV,32,0.011176307819619178,0.06820940950125767,0.06764663221942878,0.33119341162780536,0.17268547506973916
EEG + EOG + EMG + HRV,37,0.007512179998649319,0.06861112843449951,0.06804590246399295,0.3254375210315202,0.1577767120345438
HRV,7,0.004733945778520553,0.002221466787605108,0.0016502491886320695,0.2956574355767472,0.32379607690403667
EOG + HRV,17,-0.00873653580129864,0.027941761036316286,0.027367965074977917,0.2862570142285414,0.20574603506831973
EMG + HRV,12,-0.009620332691333888,0.020965949587721994,0.020409358886301538,0.27407334903431135,0.2422005061403908
EOG,10,-0.012955246711571632,0.04746829176581666,0.046808896438694576,0.34004958271904595,0.40166123238895035
EOG + EMG + HRV,22,-0.01679363768917747,0.03362136168635588,0.033040201126380335,0.27343211259936206,0.2243912019828017
EOG + EMG,15,-0.02203962460828588,0.048235325713165175,0.047610484267044055,0.2849108367456678,0.33712422526980945
EMG,5,-0.02675395206559791,0.03378865262143128,0.033146493787598784,0.29605313823917095,0.5120152335701476
